data from:  https://usafacts.org/articles/which-states-have-the-least-and-most-crime/,,,
state,"Violent crime rate per 100,000 people","Property crime rate per 100,000 people",total per 100k
Alabama,409.1010852,1738.96,2148.061085
Alaska,758.8780002,1789.027,2547.905
Arizona,431.4872941,2057.575,2489.062294
Arkansas,645.3165627,2451.507,3096.823563
California,499.457562,2343.152,2842.609562
Colorado,492.4548701,3147.574,3640.02887
Connecticut,150.0466741,1493.986,1644.032674
Delaware,383.5443187,1964.069,2347.613319
District of Columbia,812.2916986,3561.461,4373.752699
Florida,258.8782118,1566.221,1825.099212
Georgia,366.9793371,1690.783,2057.762337
Hawaii,259.617441,2434.738,2694.355441
Idaho,241.408991,926.8537,1168.262691
Illinois,287.3065336,1682.725,1970.031534
Indiana,306.2327922,1544.174,1850.406792
Iowa,286.5162097,1331.472,1617.98821
Kansas,414.6196143,1992.237,2406.856614
Kentucky,214.1475209,1448.814,1662.961521
Louisiana,628.5508757,2748.156,3376.706876
Maine,103.2959418,1213.493,1316.788942
Maryland,398.4810192,1635.419,2033.900019
Massachusetts,322.0292714,1070.099,1392.128271
Michigan,460.9973996,1536.788,1997.7854
Minnesota,280.6276656,1966.842,2247.469666
Mississippi,245.029263,1746.769,1991.798263
Missouri,488.0092238,2340.078,2828.087224
Montana,417.9479849,1918.571,2336.518985
Nebraska,282.7854545,1888.844,2171.629455
Nevada,453.9973289,2380.127,2834.124329
New Hampshire,125.5706044,1010.944,1136.514604
New Jersey,202.9217317,1416.684,1619.605732
New Mexico,780.4692468,2984.039,3764.508247
New York,429.2745428,1721.575,2150.849543
North Carolina,405.1229964,2064.133,2469.255996
North Dakota,279.6239001,1994.839,2274.4629
Ohio,293.5507804,1782.698,2076.24878
Oklahoma,419.6974974,2332.355,2752.052497
Oregon,342.4417654,2935.259,3277.700765
Pennsylvania,279.8872773,1482.508,1762.395277
Rhode Island,172.3453783,1285.322,1457.667378
South Carolina,491.3268646,2308.224,2799.550865
South Dakota,377.4356359,1737.039,2114.474636
Tennessee,621.5698891,2302.286,2923.855889
Texas,431.9142477,2299.933,2731.847248
United States Total,380.7162834,1954.417,2335.133283
Utah,241.806673,1895.084,2136.890673
Vermont,221.9254973,1671.087,1893.012497
Virginia,234.0498817,1695.71,1929.759882
Washington,375.6460812,3356.411,3732.057081
West Virginia,277.9474029,1230.089,1508.036403
Wisconsin,297.0196718,1384.989,1682.008672
Wyoming,201.9329837,1636.792,1838.724984
