States,Hachman Index
Missouri,97
Kentucky,88.6
Georgia,96.6
Massachusetts,88.4
Arizona,96.4
Maryland,87.3
Illinois,95.9
Idaho,86.7
Utah,95.6
Louisiana,86.5
North Carolina,95.5
Arkansas,85.8
Pennsylvania,95.4
Mississippi,85.4
New Jersey,93.9
Montana,85
Colorado,93.8
Indiana,77.8
Minnesota,93.2
Washington,76.5
California,93
New York,75.5
Oregon,92.9
Texas,74.7
Ohio,92.3
Nevada,74.5
New Hampshire,92.2
Hawaii,72.4
South Carolina,91.9
Iowa,70.7
Michigan,91.5
Delaware,67.9
Tennessee,91.3
Nebraska,67.7
Wisconsin,91.2
New Mexico,63.5
Alabama,91.1
Oklahoma,58.4
Maine,91.1
South Dakota,54.5
Connecticut,90.8
West Virginia,51.2
Virginia,90.6
District of Columbia,49.3
Florida,90.5
Wyoming,36.9
Kansas,90.4
Alaska,36.3
Vermont,90.2
North Dakota,35.1
Rhode Island,89.2
